feature,gain,n_windows,mean_ic,std_ic,sign_consistency
vol_60,0.5478700050928182,43,0.008046581413789021,0.02225884263085371,0.6046511627906976
fz_spill_AMAT_lret_lag1,0.5114882016214324,43,-0.0015608996367762488,0.027622771334994266,0.4883720930232558
fz_spill_AMAT_lret_lag2,0.49033590738054045,43,-0.0028030016969947035,0.021972172963536426,0.4418604651162791
fz_spill_AVGO_lret_lag2,0.44770031528071286,43,-0.0031875418712541044,0.027414979974989765,0.4186046511627907
fz_spill_AVGO_lret_lag1,0.42540632057512084,43,-0.000899651470351547,0.02817632034119294,0.46511627906976744
fz_spill_AMD_lret_lag2,0.42434779249424537,43,-0.004649930470666461,0.026673482779216832,0.4883720930232558
fz_spill_NVDA_lret_lag1,0.41391680346646353,43,-0.0006660561314073177,0.024378761956045453,0.4418604651162791
minute_cos,0.38050581241839154,43,-0.0029509289855760143,0.0266356931401429,0.5116279069767442
fz_spill_AMAT_lret_lag3,0.3639686605846464,43,0.006110160190334124,0.022549432660868,0.627906976744186
fz_spill_AMD_lret_lag5,0.32860554977003176,43,-0.00461205682086952,0.020143006168140076,0.4418604651162791
fz_spill_NVDA_lret_lag4,0.32504553681906145,43,-0.006109811821621786,0.01712071658259531,0.32558139534883723
fz_spill_AMAT_lret_lag4,0.3235138929431969,43,-0.011184069646900217,0.01733599510103632,0.23255813953488372
fz_spill_AMAT_lret_lag5,0.30939008321070105,43,-0.007924223726474475,0.020674940541336045,0.3953488372093023
fz_spill_AMD_lret_lag1,0.3067570486814475,43,-0.004488011310447123,0.023622916663944473,0.3953488372093023
fz_spill_AMD_lret_lag4,0.30120124773884527,43,-0.009980161219417867,0.01986947519072876,0.32558139534883723
f_volume_norm,0.29521853776293483,43,0.007786998765955207,0.01977642697956339,0.6046511627906976
f_minsin,0.289486376683044,43,0.002521615681891883,0.025901326590148228,0.4883720930232558
fz_spill_NVDA_lret_lag2,0.27528727140827414,43,-0.004866019567706077,0.02264918582064905,0.4186046511627907
fz_lret_60_rolling,0.273104070430918,43,-0.003623996563003061,0.02279823410423898,0.4186046511627907
close,0.27174971240583545,43,-0.009304537673420984,0.011592971474796668,0.13953488372093023
fz_spill_MU_lret_lag1,0.2697157160247343,43,0.0010595775024062146,0.023695018822059013,0.5348837209302325
fz_spill_AVGO_lret_lag4,0.25775328279735277,43,-0.010648630277095412,0.020948139724822817,0.3023255813953488
fz_spill_AVGO_lret_lag5,0.25642569224783074,43,-0.004669256577765898,0.022959376122223187,0.4186046511627907
fz_spill_AMD_lret_lag3,0.25497876178462775,43,-0.0004057202780901423,0.02156789193517979,0.4883720930232558
fz_spill_MU_lret_lag3,0.24918259340961413,43,-0.0012969983918211378,0.01994983545222183,0.4186046511627907
fz_hl_over_atr20,0.23350262245571685,43,0.0071627213148458,0.025783445480297998,0.5813953488372093
fz_lret_5_rolling,0.23320442310159706,43,-0.016874972008878813,0.024942482155203838,0.2558139534883721
fz_spill_MU_lret_lag5,0.22671537995245217,43,-0.0072555036941090055,0.019084312230842265,0.3023255813953488
fz_spill_NVDA_lret_lag3,0.22033510345556806,43,0.0020304159873455836,0.02052821867828615,0.5348837209302325
oc_change,0.1940381502031414,43,-0.02229633202545367,0.028190789707815897,0.20930232558139536
fz_macd_hist,0.18149985804836888,43,-0.013253649469302754,0.01911452704764408,0.2558139534883721
rsi_14_clip,0.17291310029065698,43,-0.015632852139471253,0.028223425588058827,0.2558139534883721
fz_spill_MU_lret_lag2,0.171416305134926,43,-0.0013262849181896184,0.0240401249887908,0.5116279069767442
fz_spill_NVDA_lret_lag5,0.16980808953837823,43,-0.008110762212534246,0.020554762659548507,0.4186046511627907
fz_spill_MU_lret_lag4,0.1679366339342323,43,-0.009371030016741461,0.01831370991485639,0.3023255813953488
fz_lret_1_rolling,0.16609745621428829,43,-0.022953496678566384,0.02584181289344169,0.18604651162790697
fz_lret_30_rolling,0.1580974864863265,43,-0.006491834844840606,0.023758691505203187,0.4418604651162791
f_volu_z_5_clipped,0.15785255500748008,43,0.0002682550085762161,0.0193501152898357,0.5581395348837209
fz_rsi_pos,0.1398847914824728,43,-0.014621868391075384,0.022212208775001536,0.20930232558139536
fz_dev_close_vwap_15,0.13864111841644444,43,-0.018504470971395258,0.023231063066688845,0.16279069767441862
fz_vol_30,0.13841302690491375,43,0.0036520528072790793,0.02096012916855085,0.5813953488372093
fz_dev_close_ema200,0.13468039890233285,43,-0.010612384426243246,0.02580920595221416,0.32558139534883723
fz_lret_15_rolling,0.13298335348804358,43,-0.009931461534573065,0.021232024471575184,0.3023255813953488
fz_vol_60,0.12634939800670963,43,0.005210429731536369,0.021358223993068696,0.6511627906976745
fz_vol_ratio_15,0.11464806425840379,43,0.002068566230456333,0.018376127627889247,0.627906976744186
fz_vol_15,0.11122690351476194,43,0.004322061426021975,0.020530269880712687,0.6744186046511628
shares_out_roll_z_252,0.10889915406642103,43,0.00315953184331525,0.012499206199305342,0.5116279069767442
f_volu_z_15_clipped,0.10808827966002355,43,0.004262675088301222,0.019612259307283376,0.5813953488372093
overnight_tone_mean,0.10563832595153144,43,0.0008195636168784188,0.014193527586126152,0.4883720930232558
fz_dev_close_vwap_60,0.1026061658094477,43,-0.008320964738147169,0.02387088063383027,0.4186046511627907
f_volu_z_60_clipped,0.09635084497449498,43,0.005743271268262205,0.021915928035857093,0.6511627906976745
fz_vol_ratio_30,0.09238544852621544,43,-0.0006502960919732057,0.019334407181588346,0.5348837209302325
fz_dev_tp_ema20,0.08937834592325089,43,-0.011183567925635214,0.02227367752009631,0.27906976744186046
fz_vol_ratio_5,0.08845180284697562,43,0.006874183814006965,0.019451138578171406,0.627906976744186
shares_out_roll_std_252,0.08832564695774181,43,0.0004090226031466355,0.011890653873870123,0.5116279069767442
volu_z_60,0.05322918233105156,43,0.005687336891800405,0.021957497246508684,0.6511627906976745
low,0.05192179574021338,43,-0.008976862699151336,0.011520120058036258,0.13953488372093023
morning_tone_sum,0.047778257164054594,43,0.00461894704383799,0.01223163432319302,0.6511627906976745
log_shares_out,0.047064477565754714,43,0.00504935006858328,0.011517213011946833,0.6744186046511628
dow_1,0.04462861996034917,41,0.001247452778480482,0.02276790975725062,0.6097560975609756
fz_vol_5,0.04416743716046767,43,0.008175075064105308,0.02144376995080606,0.6511627906976745
mins_since_last_news,0.04061382292206872,43,-0.0021652746364014684,0.011437210256795264,0.4418604651162791
f_mincos,0.03226703977964007,43,-0.0026218753924423534,0.0259600691266294,0.5116279069767442
eps_estimate,0.014341355824171842,22,-0.0032238779899608134,0.020571904505300574,0.45454545454545453
dow_3,0.01203770053371045,41,-0.005593136532904844,0.023758707304127,0.4634146341463415
cnt_60m_is_zero,0.0040929529409368115,43,-0.005198215011294821,0.015323224078484606,0.3023255813953488
dow_0,0.003700199299146334,40,-0.0035648359228222224,0.024100674083227722,0.35
cnt_30m_is_zero,0.0029804575374328124,43,-0.003834015247926994,0.013637477397939702,0.4418604651162791
5d_before_earnings_flag,0.0006658371321464074,29,0.0003666602345241211,0.01345020320358269,0.5172413793103449
tone_sum,0.00044235742063847283,43,0.003691126342256265,0.016315100823801033,0.6511627906976745
cnt_15m_is_zero,0.0003142864277378976,43,-0.004826793297073051,0.014989527747117608,0.3488372093023256
earnings_flag,0.0002337748196623579,22,-0.003201588197422177,0.020569988035619265,0.45454545454545453
overnight_n_is_zero,0.00022645843728241744,43,-0.001841066173089695,0.01171685825923131,0.4418604651162791
split_mult,2.4212999960582238e-06,3,-0.006794294418018261,0.0024364694554160874,0.0
split_ratio,0.0,3,-0.006794294418018261,0.0024364694554160874,0.0
